Activity Number,BBE Status,OLI Category,Line #
1-35U2E5AK,BBE Available,New,7
1-35U56MZR,BBE Closed,SysAdded,7
1-35UGYICU,BBE Closed,SysAdded,7
1-35UHZQNX,BBE Closed,New,7
1-35UJEWHZ,BBE Deleted,Deleted,7
1-35UJHDBG,BBE Closed,New,7
1-35UMDJJJ,BBE Available,New,7
1-35UP4ST3,BBE Deleted,Deleted,7
1-35UQ0411,BBE Deleted,Deleted,7
1-35UUC03T,BBE Available,New,7
1-35UWEWV3,BBE Available,New,7
1-35UWXK0J,BBE Available,New,7
1-35UYEFM2,BBE Closed,SysAdded,7
1-35V0VWSQ,BBE Available,New,7
1-35V10TUL,BBE Available,New,7
1-35V179ZH,BBE Closed,SysAdded,7
1-35V3JN1Z,BBE Closed,New,7
1-35V62ZJA,BBE Closed,New,7
1-35V6RWQH,BBE Available,SysAdded,7
1-35V85EVA,BBE Closed,SysAdded,7
1-35V8FAOA,BBE Available,New,7
1-35V9ISCB,BBE Available,New,7
1-35V9JTA2,BBE Closed,SysAdded,7
1-35VATT88,BBE Closed,SysAdded,7
1-35VAV5GA,BBE Available,New,7
1-35VB3MOL,BBE Available,New,7
1-35VC33JB,BBE Closed,New,7
1-35VD15EV,BBE Closed,SysAdded,7
1-35VDJPDM,BBE Available,New,7
1-35VELZA0,BBE Available,New,7
1-35VI90UA,BBE Available,New,7
1-35VIL0LD,BBE Closed,New,7
1-35VILF9X,BBE Available,New,7
1-35VJ5Z4Y,BBE Closed,SysAdded,7
1-35VJC7ML,BBE Available,New,7
1-35VJUMJF,BBE Closed,SysAdded,7
1-35VK6V7G,BBE Closed,Added,7
1-35VK7D3Y,BBE Available,New,7
1-35VKHLED,BBE Deleted,Deleted,7
1-35VKXASA,BBE Closed,SysAdded,7
1-35VL1PRR,BBE Closed,Added,7
1-35VLA9J8,BBE Available,New,7
1-35VLEHBO,BBE Deleted,Deleted,7
1-35VMBMUZ,BBE Closed,SysAdded,7
1-35VMX6A6,BBE Closed,New,7
1-35VNAHLO,BBE Available,New,7
1-35VNIL8V,BBE Available,New,7
1-35VNMJS7,BBE Closed,SysAdded,7
1-35VNPJYW,BBE Closed,SysAdded,7
1-35VOHPC7,BBE Available,SysAdded,7
1-35VPD513,BBE Available,SysAdded,7
1-35VPK1DJ,BBE Deleted,Deleted,7
1-35VQRLBE,BBE Closed,SysAdded,7
1-35VQUZZC,BBE Closed,SysAdded,7
1-35VUDAV0,BBE Closed,SysAdded,7
1-35VUF9RG,BBE Available,New,7
1-35VUJOK1,BBE Available,New,7
1-35VWN6W3,BBE Closed,SysAdded,7
1-35VXK1GV,BBE Available,SysAdded,7
1-35VY7TYS,BBE Available,New,7
1-35VYTDUZ,BBE Available,New,7
1-35VYWG75,BBE Available,New,7
1-35VYYIGK,BBE Available,New,7
1-35W1IKKQ,BBE Available,SysAdded,7
1-35W2PSH6,BBE Available,SysAdded,7
1-35FBXJ5Q,BBE Available,New,6
1-35QNG5E2,BBE Deleted,Deleted,6
1-35RCFLEW,BBE Available,New,6
1-35RHJ8HI,BBE Deleted,Deleted,6
1-35S70Z1V,BBE Deleted,Deleted,6
1-35SCQQRW,BBE Deleted,Deleted,6
1-35SJPFX5,BBE Available,New,6
1-35SZIBQ7,BBE Available,New,6
1-35T3NWFD,BBE Closed,New,6
1-35TC478Q,BBE Available,New,6
1-35TGKC4J,BBE Deleted,Deleted,6
1-35TN1YTW,BBE Deleted,Deleted,6
1-35TN7I21,BBE Closed,New,6
1-35TT3S5F,BBE Available,New,6
1-35U033QK,BBE Closed,SysAdded,6
1-35U0JFR0,BBE Available,New,6
1-35U18MMJ,BBE Available,New,6
1-35U1E1T9,BBE Closed,SysAdded,6
1-35U2FPQI,BBE Deleted,Deleted,6
1-35U3U6UQ,BBE Deleted,Deleted,6
1-35U4ELU3,BBE Available,New,6
1-35U4WDGU,BBE Available,SysAdded,6
1-35U9F48W,BBE Available,New,6
1-35UB6C54,BBE Available,SysAdded,6
1-35UB9GC4,BBE Closed,SysAdded,6
1-35UBAFQZ,BBE Closed,SysAdded,6
1-35UBHQTN,BBE Deleted,Deleted,6
1-35UDPV7Y,BBE Available,SysAdded,6
1-35UDTPU7,BBE Closed,SysAdded,6
1-35UGGTK2,BBE Deleted,Deleted,6
1-35UGMW1D,BBE Available,SysAdded,6
