Activity Number,BBE Status,OLI Category,Line #
1-35VEX1X5,BBE Closed,SysAdded,6
1-35VGT72P,BBE Closed,SysAdded,6
1-35VGWUGL,BBE Closed,SysAdded,6
1-35VH5BOX,BBE Closed,SysAdded,6
1-35VIR0OU,BBE Available,SysAdded,6
1-35VIZY7U,BBE Closed,SysAdded,6
1-35VJUTI9,BBE Closed,SysAdded,6
1-35VLJV7J,BBE Deleted,Deleted,6
1-35VMYV06,BBE Closed,SysAdded,6
1-35VMZ4TJ,BBE Closed,SysAdded,6
1-35VNWP0L,BBE Closed,SysAdded,6
1-35VONMAP,BBE Available,New,6
1-35VP3GQQ,BBE Closed,SysAdded,6
1-35VP8KP0,BBE Closed,SysAdded,6
1-35VQ0FBP,BBE Closed,SysAdded,6
1-35VQOLFF,BBE Closed,New,6
1-35VQW8T8,BBE Closed,SysAdded,6
1-35VQY7A3,BBE Closed,SysAdded,6
1-35VQY8VA,BBE Closed,SysAdded,6
1-35VR5M8Q,BBE Deleted,Deleted,6
1-35VRAWQE,BBE Closed,SysAdded,6
1-35VROIC8,BBE Closed,SysAdded,6
1-35VRVNU8,BBE Closed,SysAdded,6
1-35VV7XCA,BBE Closed,SysAdded,6
1-35VVFXCR,BBE Available,New,6
1-35VVJFOX,BBE Closed,New,6
1-35VVMLNL,BBE Closed,SysAdded,6
1-35VXBJJ9,BBE Available,New,6
1-35VXMHAJ,BBE Available,New,6
1-35VYGBTK,BBE Closed,SysAdded,6
1-35VYK1L6,BBE Available,New,6
1-35VZQG77,BBE Available,New,6
1-35W01V84,BBE Closed,New,6
1-35W0UO4E,BBE Available,New,6
1-35W2GA64,BBE Available,SysAdded,6
1-35W2TE8G,BBE Available,New,6
1-34YWJFFL,BBE Available,New,5
1-35BPXO94,BBE Available,New,5
1-35OBTLAZ,BBE Deleted,Deleted,5
1-35Q4TVDH,BBE Available,New,5
1-35RGM2ZN,BBE Closed,SysAdded,5
1-35RTYAFF,BBE Available,SysAdded,5
1-35RY8HAJ,BBE Closed,New,5
1-35S2LQOU,BBE Closed,SysAdded,5
1-35S99OS2,BBE Available,SysAdded,5
1-35SSDKCY,BBE Closed,SysAdded,5
1-35T59TVS,BBE Available,New,5
1-35TA3RDQ,BBE Closed,New,5
1-35TCRSTG,BBE Available,SysAdded,5
1-35TCV35Q,BBE Available,New,5
1-35TEQHG5,BBE Closed,New,5
1-35TU0EPH,BBE Available,New,5
1-35TUQZNR,BBE Available,New,5
1-35TW3J9X,BBE Available,New,5
1-35U255NQ,BBE Deleted,Deleted,5
1-35U29KRH,BBE Closed,New,5
1-35U50SR5,BBE Closed,New,5
1-35UAXWBH,BBE Closed,SysAdded,5
1-35UD93MC,BBE Closed,SysAdded,5
1-35UDI26W,BBE Available,New,5
1-35UG4UO8,BBE Available,SysAdded,5
1-35UGRW46,BBE Available,SysAdded,5
1-35UHBJCV,BBE Available,SysAdded,5
1-35UI4N1G,BBE Available,SysAdded,5
1-35UKAHFN,BBE Available,SysAdded,5
1-35UMBCB0,BBE Deleted,Deleted,5
1-35UN937U,BBE Available,SysAdded,5
1-35UOCCA9,BBE Available,New,5
1-35UOD184,BBE Closed,SysAdded,5
1-35UONHAU,BBE Closed,New,5
1-35UPZWFO,BBE Available,New,5
1-35UQ28KK,BBE Closed,New,5
1-35UQ4V33,BBE Closed,SysAdded,5
1-35UQQ9PS,BBE Available,SysAdded,5
1-35UWS7S6,BBE Closed,New,5
1-35UXE3IV,BBE Deleted,Deleted,5
1-35V0M24W,BBE Closed,New,5
1-35V17AF7,BBE Deleted,Deleted,5
1-35V3IT70,BBE Available,New,5
1-35V3LP33,BBE Closed,SysAdded,5
1-35V6P1N0,BBE Closed,New,5
1-35V6W428,BBE Closed,SysAdded,5
1-35V7M0LS,BBE Available,SysAdded,5
1-35V8JP2C,BBE Closed,Added,5
1-35VAAC84,BBE Deleted,Deleted,5
1-35VB3CQP,BBE Closed,SysAdded,5
1-35VBGEVR,BBE Available,New,5
1-35VBP96X,BBE Available,New,5
1-35VCKSPZ,BBE Closed,SysAdded,5
1-35VCQ2FG,BBE Closed,SysAdded,5
1-35VD08KO,BBE Closed,New,5
1-35VD2R03,BBE Closed,SysAdded,5
1-35VED4LC,BBE Closed,SysAdded,5
1-35VEYEV6,BBE Closed,SysAdded,5
1-35VFN3M6,BBE Closed,SysAdded,5
1-35VGK8B7,BBE Closed,Added,5
1-35VGMAWQ,BBE Closed,Added,5
1-35VGWNS5,BBE Available,SysAdded,5
1-35VIF2GP,BBE Closed,New,5
1-35VIJ8GI,BBE Deleted,Deleted,5
1-35VIPZF2,BBE Available,New,5
